timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1574609485045,304,SetUp,200,OK,setUp Thread Group 1-1,text,true,,187,241,1,1,http://localhost:8080/api/person,303,0,40
1574609485352,7,SetUp,200,OK,setUp Thread Group 1-1,text,true,,188,242,1,1,http://localhost:8080/api/person,7,0,0
1574609485360,6,SetUp,200,OK,setUp Thread Group 1-1,text,true,,191,245,1,1,http://localhost:8080/api/person,6,0,0
1574609485367,7,SetUp,200,OK,setUp Thread Group 1-1,text,true,,187,241,1,1,http://localhost:8080/api/person,6,0,0
1574609489063,25,getAllPersons_READ_ALL,200,OK,CRUD_tests 1-1,text,true,,337,127,1,3,http://localhost:8080/api/persons,24,0,1
1574609489089,5,addPerson_CREATE,200,OK,CRUD_tests 1-1,text,true,,191,249,1,3,http://localhost:8080/api/person,4,0,0
1574609489094,5,getAllPersons_READ_ALL,200,OK,CRUD_tests 1-1,text,true,,377,127,1,3,http://localhost:8080/api/persons,5,0,0
1574609489100,4,getPerson_READ,200,OK,CRUD_tests 1-1,text,true,,377,222,1,3,http://localhost:8080/api/persons,4,0,0
1574609489105,3,getAllPersons_READ_ALL,200,OK,CRUD_tests 1-1,text,true,,377,172,1,3,http://localhost:8080/api/persons,3,0,0
1574609489110,5,changeData_UPDATE,200,OK,CRUD_tests 1-1,text,true,,190,229,1,3,http://localhost:8080/api/person,5,0,0
1574609489115,4,getAllPersons_READ_ALL,200,OK,CRUD_tests 1-1,text,true,,379,127,1,3,http://localhost:8080/api/persons,3,0,0
1574609489119,17,deleteById_DELETE,200,OK,CRUD_tests 1-1,text,true,,152,214,1,3,http://localhost:8080/api/person/3,16,0,0
1574609489136,5,getAllPersons_READ_ALL,200,OK,CRUD_tests 1-1,text,true,,339,127,1,3,http://localhost:8080/api/persons,4,0,0
1574609489142,4,deleteAll_DELETE,200,OK,CRUD_tests 1-1,,true,,100,181,1,3,http://localhost:8080/api/persons,4,0,0
1574609489146,4,getAllPersons_READ_ALL,200,OK,CRUD_tests 1-1,text,true,,153,127,1,3,http://localhost:8080/api/persons,4,0,0
1574609489063,1399,Select-Id,200,OK,Select from DB 2-1,text,true,,3,0,1,2,null,1398,0,1386
1574609489063,1417,cleanUp_DELETE,200,OK,DELETE_ALL 3-1,text,true,,9,0,1,2,null,1416,0,1386
1574609490466,16,GetAllPersons,200,OK,Select from DB 2-1,text,true,,153,127,1,1,http://localhost:8080/api/persons,14,0,2
1574609490484,10,GetAllPersons,200,OK,Select from DB 2-1,text,true,,153,127,1,1,http://localhost:8080/api/persons,9,0,0
